parameter,value,range_basis,baseline_input_fingerprint,experiment_input_fingerprint,plan_id,scenario_id,feasible,total_cost_mln,shortage_t,min_total_service,min_critical_service,violations,critical_shortage_t,min_inventory_t,max_inventory_t,rejected_t,flexible_rights_2038_t,service_compliant,cheapest_compliant_plan
core_delivery,0.75,TEAM: 0–100% исполнение ключевого земного канала; весь диапазон определен физически,3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab,3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab,earth,TEAM_SENSITIVITY,True,10261.324307380906,140.79000000000025,0.8076840753424699,0.93930202217874,5,15.694931506848334,0.0,68.85986301369853,0.0,0.0,False,none_feasible
core_delivery,0.75,TEAM: 0–100% исполнение ключевого земного канала; весь диапазон определен физически,3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab,3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab,lunar,TEAM_SENSITIVITY,True,9790.295535408086,140.78999999999974,0.776683647260278,0.9239073711676503,4,15.979452054794663,0.0,83.71999999999981,0.0,0.0,False,none_feasible
core_delivery,0.75,TEAM: 0–100% исполнение ключевого земного канала; весь диапазон определен физически,3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab,3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab,diversified,TEAM_SENSITIVITY,True,11786.376614935205,140.79000000000002,0.8466394520547956,0.9681764383561683,5,13.418630136985328,0.0,88.85013698630134,0.0,320.00000000000006,False,none_feasible
core_delivery,0.5,TEAM: 0–100% исполнение ключевого земного канала; весь диапазон определен физически,3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab,3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab,earth,TEAM_SENSITIVITY,False,10258.422047639868,281.58000000000015,0.61536815068493,0.7529471624266152,7,104.01808219177967,0.0,65.58904109589025,0.0,0.0,False,none_feasible
core_delivery,0.5,TEAM: 0–100% исполнение ключевого земного канала; весь диапазон определен физически,3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab,3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab,lunar,TEAM_SENSITIVITY,True,9786.785274375998,281.57999999999953,0.5533672945205468,0.707436399217222,6,103.89342465753306,0.0,83.71999999999981,0.0,0.0,False,none_feasible
core_delivery,0.5,TEAM: 0–100% исполнение ключевого земного канала; весь диапазон определен физически,3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab,3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab,diversified,TEAM_SENSITIVITY,True,11783.060399915501,281.58,0.693278904109589,0.8293391780821963,6,102.70931506849242,0.0,80.26027397260268,0.0,320.00000000000006,False,none_feasible
core_delivery,0.0,TEAM: 0–100% исполнение ключевого земного канала; весь диапазон определен физически,3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab,3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab,earth,TEAM_SENSITIVITY,False,10255.346170079349,563.1600000000003,0.23287671232876767,0.23287671232876697,7,368.51890410959106,0.0,65.58904109589025,0.0,0.0,False,none_feasible
core_delivery,0.0,TEAM: 0–100% исполнение ключевого земного канала; весь диапазон определен физически,3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab,3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab,lunar,TEAM_SENSITIVITY,False,9783.82677478508,563.1599999999994,0.10887500000000001,0.10958904109589046,7,368.50520547945257,0.0,83.71999999999981,0.0,0.0,False,none_feasible
core_delivery,0.0,TEAM: 0–100% исполнение ключевого земного канала; весь диапазон определен физически,3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab,3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab,diversified,TEAM_SENSITIVITY,False,11777.828891805162,563.16,0.38655780821917857,0.38667848509266967,7,369.2936986301375,0.0,63.08054794520535,0.0,320.00000000000006,False,none_feasible
core_delay,0.0,"TEAM: 7–180 дней; 42 дня — масштаб Emergency lead time, не оценка вероятности",3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab,3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab,earth,TEAM_SENSITIVITY,True,10265.13564568828,3.836930773104541e-13,0.9999999999999968,0.9999999999999941,0,1.2363443602225743e-12,0.0,77.67999999999952,0.0,0.0,True,lunar
